Rank,Title,Year,Rating,Director
9.23578097715413,Побег из Шоушенка,1994,9.2,Frank Darabont 
9.155835055624783,Крёстный отец,1972,9.2,Francis Ford Coppola 
8.99184424225903,Темный рыцарь,2008,9.0,Christopher Nolan 
8.983857462260236,Крёстный отец 2,1974,9.0,Francis Ford Coppola 
8.953288221445995,12 рaзгневанных мужчин,1957,9.0,Sidney Lumet 
8.940255172906257,Список Шиндлера,1993,8.9,Steven Spielberg 
8.932682433411154,Властелин колец: Возвращение короля,2003,8.9,Peter Jackson 
8.846183607930769,Криминальное чтиво,1994,8.8,Quentin Tarantino 
8.8111945274023,Властелин колец: Братство кольца,2001,8.8,Peter Jackson 
8.788757138549338,"Хороший, плохой, злой",1966,8.8,Sergio Leone 
8.766546926578904,Форрест Гамп,1994,8.8,Robert Zemeckis 
8.747671058602915,Бойцовский клуб,1999,8.7,David Fincher 
8.73688044809958,Властелин колец: Две крепости,2002,8.7,Peter Jackson 
8.73262260775507,Начало,2010,8.7,Christopher Nolan 
8.6983122482511,Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,8.7,Irvin Kershner 
8.669172449078863,Матрица,1999,8.7,Lana Wachowski 
8.653330313151807,Славные парни,1990,8.7,Martin Scorsese 
8.63771086487686,Пролетая над гнездом кукушки,1975,8.6,Milos Forman 
8.604625403607251,Семь,1995,8.6,David Fincher 
8.597594169513112,Семь самураев,1954,8.6,Akira Kurosawa 
8.597545093104472,Эта замечательная жизнь,1946,8.6,Frank Capra 
8.588320941010352,Молчание ягнят,1991,8.6,Jonathan Demme 
8.579810019828328,Спасти рядового Райана,1998,8.6,Steven Spielberg 
8.5792653838694,Город Бога,2002,8.6,Fernando Meirelles 
8.572559098802216,Интерстеллар,2014,8.6,Christopher Nolan 
8.568677676586214,Жизнь прекрасна,1997,8.6,Roberto Benigni 
8.563650577834885,Зелёная миля,1999,8.6,Frank Darabont 
8.547636393029801,Звёздные войны. Эпизод 4: Новая надежда,1977,8.5,George Lucas 
8.538207377182085,Терминатор 2: Судный день,1991,8.5,James Cameron 
8.517848489293167,Назад в будущее,1985,8.5,Robert Zemeckis 
8.515821869890813,Унесённые призраками,2001,8.5,Hayao Miyazaki 
8.507814706854381,Пианист,2002,8.5,Roman Polanski 
8.50619872720818,Психо,1960,8.5,Alfred Hitchcock 
8.500328657652997,Паразиты,2019,8.5,Bong Joon Ho 
8.492420740233712,Леон,1994,8.5,Luc Besson 
8.487771265589485,Король лев,1994,8.5,Roger Allers 
8.487163753941815,Гладиатор,2000,8.5,Ridley Scott 
8.48130703439357,Американская история Икс,1998,8.5,Tony Kaye 
8.476274743050798,Отступники,2006,8.5,Martin Scorsese 
8.469285130715578,Престиж,2006,8.5,Christopher Nolan 
8.469201137406882,Одержимость,2014,8.5,Damien Chazelle 
8.468803031671301,Подозрительные лица,1995,8.5,Bryan Singer 
8.46119575862957,Casablanca,1942,8.5,Michael Curtiz 
8.456447090800188,Могила светлячков,1988,8.5,Isao Takahata 
